player_api_id,player_name,rating_growth
426873,Gaetan Bussmann,23.0
474672,Samuel Garcia,23.0
37254,Mahamadou Samassa,23.0
210389,Maxime Colin,23.0
163604,Karl Darlow,23.0
42645,Simone Padoin,23.0
158257,Vaclav Kadlec,23.0
237542,Johannes Geis,23.0
39940,Denni Avdic,23.0
41864,Roberto Colombo,23.0
10967,Petr Jiracek,23.0
11319,Benoit Costil,23.0
199833,Saphir Taider,23.0
68253,Benedikt Hoewedes,23.0
67334,Abdoul Karim Yoda,23.0
210452,Yoann Court,23.0
156664,Mamadou Samassa,23.0
210392,Yvan Erichot,23.0
157303,Adam Bogdan,23.0
93850,Prejuce Nakoulma,23.0
167069,Diego Seoane Perez,23.0
169193,Alexandre Lacazette,23.0
200962,Philipp Wollscheid,23.0
150330,Jose Maria Callejon,23.0
210184,Wissam Ben Yedder,23.0
73999,Marco Parolo,23.0
75004,Roberto Trashorras,23.0
78904,Guy-Roland N'Dy Assembe,23.0
94044,Granddi Ngoyi,23.0
94010,Henri Saivet,23.0
96613,Diego Alves,23.0
184533,Koke,23.0
141576,Enda Stevens,23.0
187333,Kasper Kusk,23.0
95078,Toni Kroos,23.0
96456,Elliott Bennett,23.0
109898,Jack Collison,23.0
180274,Graeme Shinnie,23.0
128864,Oscar,23.0
112978,Roman Buerki,23.0
110148,Marko Arnautovic,23.0
170593,Adam Matthews,23.0
116772,Thomas Mueller,23.0
277460,Arkadiusz Milik,23.0
77767,Giuseppe Bellusci,22.888888888888886
181619,Benjamin Leroy,22.799999999999997
40636,Luis Suarez,22.785714285714292
160599,Toby Alderweireld,22.75
265727,Alexandre Coeff,22.75
134232,Nolan Roux,22.75
11242,Konstantin Engel,22.66666666666667
240538,Ben Mee,22.66666666666667
205278,Asier Illarramendi,22.66666666666667
94549,Cheikh Mbengue,22.66666666666667
41658,Marek Hamsik,22.625
101422,Diego Perotti,22.5
80497,Ivan Marcano,22.5
186831,Giannelli Imbula Wanga,22.5
163605,Pele,22.5
165823,Chris Smalling,22.5
164212,Yazalde,22.5
40012,Adil Hermach,22.5
16678,Anton Putsila,22.5
195199,Nicola Sansone,22.42857142857143
